Variant,ID,OOD,FGSM,Layer,Threshold,Mini,N-extract,N-train,Random seed,AUROC,AUROC-avg-std,FPR95,FPR95-avg-std,Logfile
MS_DETR,BDD,OpenImages,8,ms_detr_tra_enc,0.4,,1,1,0,78.66,,41.76,,eval_BDD-MS_DETR-fgsm-8-0_ms_detr_tra_enc_extract_1_train_1.txt
MS_DETR,BDD,OpenImages,8,ms_detr_tra_enc,0.4,,1,2,1000,79.9,,40.0,,eval_BDD-MS_DETR-fgsm-8-1000_ms_detr_tra_enc_extract_1_train_2.txt
MS_DETR,BDD,OpenImages,8,ms_detr_tra_enc,0.4,,1,3,2000,79.46,79.34±0.51,41.76,41.17±0.83,eval_BDD-MS_DETR-fgsm-8-2000_ms_detr_tra_enc_extract_1_train_3.txt
DETR,BDD,COCO,8,,0.4,,2,1,0,79.2,,44.88,,eval_BDD-DETR-fgsm-8-0_extract_2_train_1.txt
DETR,BDD,COCO,8,,0.4,,2,2,1000,82.02,,41.88,,eval_BDD-DETR-fgsm-8-1000_extract_2_train_2.txt
DETR,BDD,COCO,8,,0.4,,2,3,2000,79.98,80.40±1.19,46.11,44.29±1.78,eval_BDD-DETR-fgsm-8-2000_extract_2_train_3.txt
MS_DETR,BDD,COCO,8,ms_detr_cnn,0.1,,2,1,0,82.34,,50.0,,eval_BDD-MS_DETR-fgsm-8-0_ms_detr_cnn_extract_2_train_1_th_0_dot_1.txt
MS_DETR,BDD,COCO,8,ms_detr_cnn,0.1,,2,2,1000,81.22,,52.35,,eval_BDD-MS_DETR-fgsm-8-1000_ms_detr_cnn_extract_2_train_2_th_0_dot_1.txt
MS_DETR,BDD,COCO,8,ms_detr_cnn,0.1,,2,3,2000,82.8,82.12±0.66,49.14,50.50±1.36,eval_BDD-MS_DETR-fgsm-8-2000_ms_detr_cnn_extract_2_train_3_th_0_dot_1.txt
MS_DETR,BDD,COCO,8,ms_detr_cnn,0.4,,2,1,0,83.79,,48.79,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_ms_detr_cnn_extract_2_train_1.txt
MS_DETR,BDD,COCO,8,ms_detr_cnn,0.4,,2,2,1000,82.71,,51.02,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_ms_detr_cnn_extract_2_train_2.txt
MS_DETR,BDD,COCO,8,ms_detr_cnn,0.4,,2,3,2000,83.92,83.47±0.54,48.17,49.33±1.22,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_ms_detr_cnn_extract_2_train_3.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_dec,0.1,,2,1,0,51.5,,79.83,,eval_BDD-MS_DETR-fgsm-8-0_ms_detr_tra_dec_extract_2_train_1_th_0_dot_1.txt
MS_DETR,BDD,COCO,8,ms_detr_tra_dec,0.1,,2,2,1000,50.03,,81.19,,eval_BDD-MS_DETR-fgsm-8-1000_ms_detr_tra_dec_extract_2_train_2_th_0_dot_1.txt
