Variant,ID,OOD,FGSM,Layer,Threshold,Mini,N-extract,N-train,Random seed,AUROC,AUROC-avg-std,FPR95,FPR95-avg-std,Logfile
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.linear1,0.4,,4,1,0,28.65,,89.07,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.linear1,0.4,,4,2,1000,41.72,,81.37,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.linear1,0.4,,4,3,2000,29.11,33.16±6.06,88.51,86.32±3.51,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.linear2,0.4,,4,1,0,72.04,,63.77,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.linear2,0.4,,4,2,1000,80.74,,51.5,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.linear2,0.4,,4,3,2000,78.53,77.10±3.69,54.8,56.69±5.18,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.norm1,0.4,,4,1,0,39.61,,84.1,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.norm1,0.4,,4,2,1000,44.55,,79.8,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.norm1,0.4,,4,3,2000,44.25,42.80±2.26,80.08,81.33±1.96,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.norm2,0.4,,4,1,0,73.57,,59.79,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.norm2,0.4,,4,2,1000,81.85,,46.71,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.norm2,0.4,,4,3,2000,69.68,75.03±5.07,62.61,56.37±6.93,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.self_attn.attention_weights,0.4,,4,1,0,78.01,,51.7,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.self_attn.attention_weights,0.4,,4,2,1000,74.11,,58.96,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.self_attn.attention_weights,0.4,,4,3,2000,76.87,76.33±1.64,52.68,54.45±3.22,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.self_attn.output_proj,0.4,,4,1,0,32.43,,88.34,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.self_attn.output_proj,0.4,,4,2,1000,31.5,,88.78,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.self_attn.output_proj,0.4,,4,3,2000,30.71,31.55±0.70,89.02,88.71±0.28,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.self_attn.sampling_offsets,0.4,,4,1,0,73.1,,62.18,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.self_attn.sampling_offsets,0.4,,4,2,1000,73.51,,61.19,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.self_attn.sampling_offsets,0.4,,4,3,2000,73.98,73.53±0.36,60.63,61.33±0.64,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.self_attn.value_proj,0.4,,4,1,0,78.88,,50.93,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.self_attn.value_proj,0.4,,4,2,1000,74.63,,56.68,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.4.self_attn.value_proj,0.4,,4,3,2000,76.05,76.52±1.77,55.56,54.39±2.49,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.dropout1,0.4,,4,1,0,80.24,,46.93,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.dropout1,0.4,,4,2,1000,76.49,,52.24,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.dropout1,0.4,,4,3,2000,77.0,77.91±1.66,52.29,50.49±2.52,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.dropout2,0.4,,4,1,0,72.74,,62.64,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.dropout2,0.4,,4,2,1000,75.93,,59.16,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.dropout2,0.4,,4,3,2000,74.51,74.39±1.30,60.76,60.85±1.42,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.dropout3,0.4,,4,1,0,69.18,,67.47,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.dropout3,0.4,,4,2,1000,73.55,,60.81,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.dropout3,0.4,,4,3,2000,74.89,72.54±2.44,60.29,62.86±3.27,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.linear1,0.4,,4,1,0,81.35,,44.68,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.linear1,0.4,,4,2,1000,77.15,,52.34,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.linear1,0.4,,4,3,2000,74.22,77.57±2.93,55.85,50.96±4.66,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.linear2,0.4,,4,1,0,72.63,,62.59,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.linear2,0.4,,4,2,1000,71.15,,64.35,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.linear2,0.4,,4,3,2000,75.9,73.23±1.98,58.97,61.97±2.24,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.norm1,0.4,,4,1,0,86.88,,36.81,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.norm1,0.4,,4,2,1000,86.67,,36.91,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.norm1,0.4,,4,3,2000,88.62,87.39±0.87,34.18,35.97±1.26,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.norm2,0.4,,4,1,0,77.63,,54.56,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.norm2,0.4,,4,2,1000,84.2,,43.74,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.norm2,0.4,,4,3,2000,81.79,81.21±2.71,47.93,48.74±4.45,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.self_attn.attention_weights,0.4,,4,1,0,79.8,,50.4,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.self_attn.attention_weights,0.4,,4,2,1000,80.4,,48.94,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.self_attn.attention_weights,0.4,,4,3,2000,73.15,77.78±3.29,60.28,53.21±5.04,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.self_attn.output_proj,0.4,,4,1,0,78.29,,49.44,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.self_attn.output_proj,0.4,,4,2,1000,78.64,,50.21,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.self_attn.output_proj,0.4,,4,3,2000,76.73,77.89±0.83,52.06,50.57±1.10,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.self_attn.sampling_offsets,0.4,,4,1,0,79.18,,53.8,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.self_attn.sampling_offsets,0.4,,4,2,1000,80.7,,51.73,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.self_attn.sampling_offsets,0.4,,4,3,2000,77.27,79.05±1.40,57.12,54.22±2.22,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.self_attn.value_proj,0.4,,4,1,0,72.26,,58.14,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.self_attn.value_proj,0.4,,4,2,1000,69.62,,61.75,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer2.0.downsample_transformer.encoder.layers.5.self_attn.value_proj,0.4,,4,3,2000,73.77,71.88±1.72,55.67,58.52±2.50,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample,0.4,,4,1,0,70.53,,64.94,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_all_encoder_layers.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample,0.4,,4,2,1000,70.12,,64.84,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_all_encoder_layers.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample,0.4,,4,3,2000,70.01,70.22±0.22,65.29,65.02±0.19,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_all_encoder_layers.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.0.norm1,0.4,,4,1,0,91.77,,24.03,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.0.norm1,0.4,,4,2,1000,90.69,,26.68,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.0.norm1,0.4,,4,3,2000,93.72,92.06±1.25,19.93,23.55±2.78,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.0.norm2,0.4,,4,1,0,92.56,,23.4,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.0.norm2,0.4,,4,2,1000,91.95,,24.49,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.0.norm2,0.4,,4,3,2000,93.55,92.69±0.66,20.57,22.82±1.65,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.1.norm1,0.4,,4,1,0,90.59,,27.09,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.1.norm1,0.4,,4,2,1000,90.0,,28.44,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.1.norm1,0.4,,4,3,2000,88.67,89.75±0.80,31.67,29.07±1.92,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.1.norm2,0.4,,4,1,0,87.7,,36.97,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.1.norm2,0.4,,4,2,1000,88.02,,35.3,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.1.norm2,0.4,,4,3,2000,89.13,88.28±0.61,33.12,35.13±1.58,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.2.norm1,0.4,,4,1,0,79.38,,48.41,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.2.norm1,0.4,,4,2,1000,78.08,,49.63,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.2.norm1,0.4,,4,3,2000,73.67,77.04±2.44,56.04,51.36±3.35,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.2.norm2,0.4,,4,1,0,78.73,,50.75,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.2.norm2,0.4,,4,2,1000,84.08,,41.72,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.2.norm2,0.4,,4,3,2000,78.41,80.41±2.60,51.79,48.09±4.52,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.3.norm1,0.4,,4,1,0,73.21,,56.15,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.3.norm1,0.4,,4,2,1000,74.07,,55.54,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.3.norm1,0.4,,4,3,2000,71.92,73.07±0.88,56.89,56.19±0.55,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.3.norm2,0.4,,4,1,0,74.74,,56.63,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.3.norm2,0.4,,4,2,1000,76.58,,54.15,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.3.norm2,0.4,,4,3,2000,76.24,75.85±0.80,55.05,55.28±1.03,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.4.norm1,0.4,,4,1,0,32.3,,86.59,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.4.norm1,0.4,,4,2,1000,35.62,,85.41,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.4.norm1,0.4,,4,3,2000,35.72,34.55±1.59,84.66,85.55±0.79,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.4.norm2,0.4,,4,1,0,66.12,,64.63,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.4.norm2,0.4,,4,2,1000,69.15,,61.3,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.4.norm2,0.4,,4,3,2000,73.05,69.44±2.84,57.05,60.99±3.10,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.5.norm1,0.4,,4,1,0,68.88,,60.91,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.5.norm1,0.4,,4,2,1000,72.15,,57.15,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_4_train_2_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.5.norm1,0.4,,4,3,2000,75.93,72.32±2.88,52.19,56.75±3.57,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_4_train_3_combined_cnn_layer.txt
MS_DETR,BDD,OpenImages,8,backbone.0.body.layer3.0.downsample_res_conn_before_transformer.encoder.layers.5.norm2,0.4,,4,1,0,85.32,,40.8,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_4_train_1_combined_cnn_layer.txt
